Scope,Category,Sub Group,kg_co2e
Scope 1 & 2,Scope 1 & 2,Scope 1,560
Scope 1 & 2,Scope 1 & 2,Scope 2,880
Scope 3,Transportation,Uline,36000
Scope 3,Transportation,Dean's Milkman,2800
Scope 3,Transportation,Tree Island,2500
Scope 3,Transportation,Rehoboth Farm,2000
Scope 3,Transportation,Discovery Organics,1900
Scope 3,Transportation,Other 101 Vendors,5800
Scope 3,Purchased Goods & Services,Vegetable & Melon Farming,64000
Scope 3,Purchased Goods & Services,Fruit & Tree Nut Farming,36000
Scope 3,Purchased Goods & Services,Grain Farming,30000
Scope 3,Purchased Goods & Services,Oilseed Farming,27000
Scope 3,Purchased Goods & Services,Other Crop Farming,14000
Scope 3,Purchased Goods & Services,Other 31 Categories,39000
Offsets,Compost,Compost,1500
Offsets,Café,High,35000
Offsets,Café,Medium,16000
Offsets,Café,Low,10000
