prod_cat,total_kg_co2e,spend,co2e_per_cad,avg_co2e_per_cad,final_co2e_kg_2020,scope
27,64333.53,57368.49,1.12,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
26,36005.05,41279.36,0.87,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
19,30158.17,25560.4,1.18,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
17,26687.12,35397.85,0.75,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
35,13503.26,12861.45,1.05,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
29,6223.32,13914.41,0.45,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
1,5135.32,13686,0.38,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
8,3321.84,24091.92,0.14,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
18,3152.22,34311.25,0.09,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
10,2492.67,20476.36,0.12,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
9,2306.17,28566.39,0.08,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
7,1715.11,22340.56,0.08,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
15,1347.06,29541.77,0.05,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
12,1306.85,13214.1,0.1,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
34,1199.54,4054.06,0.3,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
23,1048.3,864,1.21,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
5,1026.01,9985.53,0.1,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
16,1002.97,18903.39,0.05,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
21,999.63,22682.1,0.04,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
36,994.23,16602.27,0.06,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
24,886.58,22261.96,0.04,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
6,812.69,13332.57,0.06,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
31,667,2893.4,0.23,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
2,606.52,13881.28,0.04,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
22,594.42,6900.9,0.09,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
4,537.02,2480.6,0.22,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
32,459.27,6005,0.08,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
25,451.36,34235.03,0.01,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
11,349.21,9811.9,0.04,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
33,136.39,2604.8,0.05,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
3,106.71,3368.63,0.03,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
13,96.22,442,0.22,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
30,76.63,1113.3,0.07,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
28,46.08,1085,0.04,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
14,37.96,374.5,0.1,0.27,209822.4,2020 Scope 3: Purchased Goods & Services
