vendor,kgCO2e_vendor,tonnesCO2e_vendor,total_kg_CO2e,total_tonnes_CO2e,pct_contribution,cumulative_pct_emissions,scope
ULINE,35518.96,35.52,50490.47,50.49,70.35,70.35,2020 Scope 3: Upstream Transportation
Dean's Milkman,2746.21,2.75,50490.47,50.49,5.44,75.79,2020 Scope 3: Upstream Transportation
Tree Island Gourmet Yogurt,2493.33,2.49,50490.47,50.49,4.94,80.73,2020 Scope 3: Upstream Transportation
Rehoboth Farm,1984.49,1.98,50490.47,50.49,3.93,84.66,2020 Scope 3: Upstream Transportation
Discovery Organics,1939.38,1.94,50490.47,50.49,3.84,88.5,2020 Scope 3: Upstream Transportation
Factory Direct Vinegar,1334.97,1.33,50490.47,50.49,2.64,91.14,2020 Scope 3: Upstream Transportation
Left Coast Naturals,827.18,0.83,50490.47,50.49,1.64,92.78,2020 Scope 3: Upstream Transportation
Giddy Yo,514.66,0.51,50490.47,50.49,1.02,93.8,2020 Scope 3: Upstream Transportation
A Bread Affair,391.61,0.39,50490.47,50.49,0.78,94.57,2020 Scope 3: Upstream Transportation
Klippers Organics,369.57,0.37,50490.47,50.49,0.73,95.31,2020 Scope 3: Upstream Transportation
Organic Matters,334.96,0.33,50490.47,50.49,0.66,95.97,2020 Scope 3: Upstream Transportation
Foothills Creamery Ltd.,193.75,0.19,50490.47,50.49,0.38,96.35,2020 Scope 3: Upstream Transportation
Oneka Elements,189.22,0.19,50490.47,50.49,0.37,96.73,2020 Scope 3: Upstream Transportation
Gathering Place Trading Company,154.29,0.15,50490.47,50.49,0.31,97.03,2020 Scope 3: Upstream Transportation
Horizon Distributors,151.71,0.15,50490.47,50.49,0.3,97.33,2020 Scope 3: Upstream Transportation
Nelson Naturals,145.52,0.15,50490.47,50.49,0.29,97.62,2020 Scope 3: Upstream Transportation
Kraut Source,141.35,0.14,50490.47,50.49,0.28,97.9,2020 Scope 3: Upstream Transportation
Green Can LLC,82.38,0.08,50490.47,50.49,0.16,98.07,2020 Scope 3: Upstream Transportation
No Tox Life,81.69,0.08,50490.47,50.49,0.16,98.23,2020 Scope 3: Upstream Transportation
Three Bluebirds,80.08,0.08,50490.47,50.49,0.16,98.39,2020 Scope 3: Upstream Transportation
Jiva Organics,72.3,0.07,50490.47,50.49,0.14,98.53,2020 Scope 3: Upstream Transportation
Brush Naked,57.48,0.06,50490.47,50.49,0.11,98.64,2020 Scope 3: Upstream Transportation
Bows & Arrows,55.38,0.06,50490.47,50.49,0.11,98.75,2020 Scope 3: Upstream Transportation
Dental Lace Inc.,50.5,0.05,50490.47,50.49,0.1,98.85,2020 Scope 3: Upstream Transportation
Cedar Isle Farm,47.59,0.05,50490.47,50.49,0.09,98.95,2020 Scope 3: Upstream Transportation
LFT Group Brands Ltd.,46.11,0.05,50490.47,50.49,0.09,99.04,2020 Scope 3: Upstream Transportation
Dickie's Ginger,43.6,0.04,50490.47,50.49,0.09,99.12,2020 Scope 3: Upstream Transportation
Nellie's All-Natural,33.68,0.03,50490.47,50.49,0.07,99.19,2020 Scope 3: Upstream Transportation
Namasthé Tea Co.,32.71,0.03,50490.47,50.49,0.06,99.26,2020 Scope 3: Upstream Transportation
Nina's Pierogi,27.39,0.03,50490.47,50.49,0.05,99.31,2020 Scope 3: Upstream Transportation
East Van Roasters,22.34,0.02,50490.47,50.49,0.04,99.35,2020 Scope 3: Upstream Transportation
Kooshoo,19.72,0.02,50490.47,50.49,0.04,99.39,2020 Scope 3: Upstream Transportation
Westpoint Naturals,17.85,0.02,50490.47,50.49,0.04,99.43,2020 Scope 3: Upstream Transportation
Okanagan Rawsome,17.71,0.02,50490.47,50.49,0.04,99.46,2020 Scope 3: Upstream Transportation
Raw Elements,17.69,0.02,50490.47,50.49,0.04,99.5,2020 Scope 3: Upstream Transportation
Yoggu!,15.8,0.02,50490.47,50.49,0.03,99.53,2020 Scope 3: Upstream Transportation
Legends Haul,15.52,0.02,50490.47,50.49,0.03,99.56,2020 Scope 3: Upstream Transportation
Earnest Ice Cream,15.51,0.02,50490.47,50.49,0.03,99.59,2020 Scope 3: Upstream Transportation
Tempea Natural Foods,14.06,0.01,50490.47,50.49,0.03,99.62,2020 Scope 3: Upstream Transportation
Berry Brook Organic Farm,13.21,0.01,50490.47,50.49,0.03,99.65,2020 Scope 3: Upstream Transportation
